area,item,element,year,unit,value,flag
Mozambique,Maize (corn),Production,2016,t,1217000,A
Mozambique,Maize (corn),Yield,2016,kg/ha,732.3,A
Mozambique,Maize (corn),Area harvested,2017,ha,1654000,A
Mozambique,Maize (corn),Production,2017,t,1224000,A
Mozambique,Maize (corn),Yield,2017,kg/ha,740,A
Mozambique,Maize (corn),Area harvested,2018,ha,1613535,A
Mozambique,Maize (corn),Production,2018,t,1406794,A
Mozambique,Maize (corn),Yield,2018,kg/ha,871.9,A
Mozambique,Maize (corn),Area harvested,2019,ha,1643827,A
Mozambique,Maize (corn),Production,2019,t,1451686,A
Mozambique,Maize (corn),Yield,2019,kg/ha,883.1,A
Mozambique,Maize (corn),Area harvested,2020,ha,2286362,A
Mozambique,Maize (corn),Production,2020,t,1632321,A
Mozambique,Maize (corn),Yield,2020,kg/ha,713.9,A
Mozambique,Maize (corn),Area harvested,2021,ha,1658437,A
Mozambique,Maize (corn),Production,2021,t,1824281,A
Mozambique,Maize (corn),Yield,2021,kg/ha,1100,A
Mozambique,Maize (corn),Area harvested,2022,ha,1817487,A
Mozambique,Maize (corn),Production,2022,t,2382511,A
Mozambique,Maize (corn),Yield,2022,kg/ha,1310.9,A
Namibia,Maize (corn),Area harvested,1990,ha,19180,A
Namibia,Maize (corn),Production,1990,t,28523,A
Namibia,Maize (corn),Yield,1990,kg/ha,1487.1,A
Namibia,Maize (corn),Area harvested,1991,ha,42833,A
Namibia,Maize (corn),Production,1991,t,51185,A
Namibia,Maize (corn),Yield,1991,kg/ha,1195,A
Namibia,Maize (corn),Area harvested,1992,ha,18000,E
Namibia,Maize (corn),Production,1992,t,10715,A
Namibia,Maize (corn),Yield,1992,kg/ha,595.3,E
Namibia,Maize (corn),Area harvested,1993,ha,32846,A
Namibia,Maize (corn),Production,1993,t,25500,A
Namibia,Maize (corn),Yield,1993,kg/ha,776.4,A
Namibia,Maize (corn),Area harvested,1994,ha,35357,A
Namibia,Maize (corn),Production,1994,t,40834,A
Namibia,Maize (corn),Yield,1994,kg/ha,1154.9,A
Namibia,Maize (corn),Area harvested,1995,ha,21021,A
Namibia,Maize (corn),Production,1995,t,18431,A
Namibia,Maize (corn),Yield,1995,kg/ha,876.8,A
Namibia,Maize (corn),Area harvested,1996,ha,27827,A
Namibia,Maize (corn),Production,1996,t,19020,A
Namibia,Maize (corn),Yield,1996,kg/ha,683.5,A
Namibia,Maize (corn),Area harvested,1997,ha,31450,A
Namibia,Maize (corn),Production,1997,t,49460,A
Namibia,Maize (corn),Yield,1997,kg/ha,1572.7,A
Namibia,Maize (corn),Area harvested,1998,ha,27029,A
Namibia,Maize (corn),Production,1998,t,17860,A
Namibia,Maize (corn),Yield,1998,kg/ha,660.8,A
Namibia,Maize (corn),Area harvested,1999,ha,35740,A
Namibia,Maize (corn),Production,1999,t,18855,A
Namibia,Maize (corn),Yield,1999,kg/ha,527.6,A
Namibia,Maize (corn),Area harvested,2000,ha,44000,A
Namibia,Maize (corn),Production,2000,t,31550,A
Namibia,Maize (corn),Yield,2000,kg/ha,717,A
Namibia,Maize (corn),Area harvested,2001,ha,20900,A
Namibia,Maize (corn),Production,2001,t,27700,A
Namibia,Maize (corn),Yield,2001,kg/ha,1325.4,A
Namibia,Maize (corn),Area harvested,2002,ha,21000,E
Namibia,Maize (corn),Production,2002,t,27800,A
Namibia,Maize (corn),Yield,2002,kg/ha,1323.8,E
Namibia,Maize (corn),Area harvested,2003,ha,23400,A
Namibia,Maize (corn),Production,2003,t,28891,A
Namibia,Maize (corn),Yield,2003,kg/ha,1234.7,A
Namibia,Maize (corn),Area harvested,2004,ha,24992,A
Namibia,Maize (corn),Production,2004,t,28244,A
Namibia,Maize (corn),Yield,2004,kg/ha,1130.1,A
Namibia,Maize (corn),Area harvested,2005,ha,18014,A
Namibia,Maize (corn),Production,2005,t,40723,A
Namibia,Maize (corn),Yield,2005,kg/ha,2260.6,A
Namibia,Maize (corn),Area harvested,2006,ha,28904,A
Namibia,Maize (corn),Production,2006,t,60853,A
Namibia,Maize (corn),Yield,2006,kg/ha,2105.3,A
Namibia,Maize (corn),Area harvested,2007,ha,27356,A
Namibia,Maize (corn),Production,2007,t,55523,A
Namibia,Maize (corn),Yield,2007,kg/ha,2029.6,A
Namibia,Maize (corn),Area harvested,2008,ha,27694,A
Namibia,Maize (corn),Production,2008,t,58101,A
Namibia,Maize (corn),Yield,2008,kg/ha,2098,A
Namibia,Maize (corn),Area harvested,2009,ha,27127,A
Namibia,Maize (corn),Production,2009,t,57320,A
Namibia,Maize (corn),Yield,2009,kg/ha,2113,A
Namibia,Maize (corn),Area harvested,2010,ha,26814,I
Namibia,Maize (corn),Production,2010,t,53070.76,I
Namibia,Maize (corn),Yield,2010,kg/ha,1979.2,E
Namibia,Maize (corn),Area harvested,2011,ha,28038,I
Namibia,Maize (corn),Production,2011,t,53800,X
Namibia,Maize (corn),Yield,2011,kg/ha,1918.8,E
Namibia,Maize (corn),Area harvested,2012,ha,46471,I
Namibia,Maize (corn),Production,2012,t,87600,X
Namibia,Maize (corn),Yield,2012,kg/ha,1885,E
Namibia,Maize (corn),Area harvested,2013,ha,21632,I
Namibia,Maize (corn),Production,2013,t,40000,X
Namibia,Maize (corn),Yield,2013,kg/ha,1849.1,E
Namibia,Maize (corn),Area harvested,2014,ha,34991,A
Namibia,Maize (corn),Production,2014,t,55985,A
Namibia,Maize (corn),Yield,2014,kg/ha,1600,A
Namibia,Maize (corn),Area harvested,2015,ha,30184,I
Namibia,Maize (corn),Production,2015,t,55870.88,I
Namibia,Maize (corn),Yield,2015,kg/ha,1851,E
Namibia,Maize (corn),Area harvested,2016,ha,22350,A
Namibia,Maize (corn),Production,2016,t,43611,A
Namibia,Maize (corn),Yield,2016,kg/ha,1951.3,A
Namibia,Maize (corn),Area harvested,2017,ha,30174,A
Namibia,Maize (corn),Production,2017,t,71037,A
Namibia,Maize (corn),Yield,2017,kg/ha,2354.2,A
Namibia,Maize (corn),Area harvested,2018,ha,25172,A
Namibia,Maize (corn),Production,2018,t,59253,A
Namibia,Maize (corn),Yield,2018,kg/ha,2353.9,A
Namibia,Maize (corn),Area harvested,2019,ha,20811,I
Namibia,Maize (corn),Production,2019,t,45000,A
Namibia,Maize (corn),Yield,2019,kg/ha,2162.4,E
Namibia,Maize (corn),Area harvested,2020,ha,27838,A
Namibia,Maize (corn),Production,2020,t,60142,A
Namibia,Maize (corn),Yield,2020,kg/ha,2160.4,A
Namibia,Maize (corn),Area harvested,2021,ha,35046,A
Namibia,Maize (corn),Production,2021,t,78127,A
Namibia,Maize (corn),Yield,2021,kg/ha,2229.3,A
Namibia,Maize (corn),Area harvested,2022,ha,51221,A
Namibia,Maize (corn),Production,2022,t,98856,A
Namibia,Maize (corn),Yield,2022,kg/ha,1930,A
South Africa,Maize (corn),Area harvested,1990,ha,4163000,A
South Africa,Maize (corn),Production,1990,t,9180000,A
South Africa,Maize (corn),Yield,1990,kg/ha,2205.1,A
South Africa,Maize (corn),Area harvested,1991,ha,3816000,A
South Africa,Maize (corn),Production,1991,t,8614000,A
South Africa,Maize (corn),Yield,1991,kg/ha,2257.3,A
South Africa,Maize (corn),Area harvested,1992,ha,4173000,A
South Africa,Maize (corn),Production,1992,t,3277000,A
South Africa,Maize (corn),Yield,1992,kg/ha,785.3,A
South Africa,Maize (corn),Area harvested,1993,ha,4377000,A
South Africa,Maize (corn),Production,1993,t,9997000,A
South Africa,Maize (corn),Yield,1993,kg/ha,2284,A
South Africa,Maize (corn),Area harvested,1994,ha,4661000,A
South Africa,Maize (corn),Production,1994,t,13275000,A
South Africa,Maize (corn),Yield,1994,kg/ha,2848.1,A
South Africa,Maize (corn),Area harvested,1995,ha,3526000,A
South Africa,Maize (corn),Production,1995,t,4866000,A
South Africa,Maize (corn),Yield,1995,kg/ha,1380,A
South Africa,Maize (corn),Area harvested,1996,ha,3761000,A
South Africa,Maize (corn),Production,1996,t,10171000,A
South Africa,Maize (corn),Yield,1996,kg/ha,2704.3,A
South Africa,Maize (corn),Area harvested,1997,ha,4023060,A
South Africa,Maize (corn),Production,1997,t,10136000,A
South Africa,Maize (corn),Yield,1997,kg/ha,2519.5,A
South Africa,Maize (corn),Area harvested,1998,ha,3559750,A
South Africa,Maize (corn),Production,1998,t,7693000,A
South Africa,Maize (corn),Yield,1998,kg/ha,2161.1,A
South Africa,Maize (corn),Area harvested,1999,ha,3567383,A
South Africa,Maize (corn),Production,1999,t,7946000,A
South Africa,Maize (corn),Yield,1999,kg/ha,2227.4,A
South Africa,Maize (corn),Area harvested,2000,ha,4012000,A
South Africa,Maize (corn),Production,2000,t,11431183,A
South Africa,Maize (corn),Yield,2000,kg/ha,2849.2,A
South Africa,Maize (corn),Area harvested,2001,ha,3189000,A
South Africa,Maize (corn),Production,2001,t,7772000,A
South Africa,Maize (corn),Yield,2001,kg/ha,2437.1,A
South Africa,Maize (corn),Area harvested,2002,ha,3533459,A
South Africa,Maize (corn),Production,2002,t,10076000,A
South Africa,Maize (corn),Yield,2002,kg/ha,2851.6,A
South Africa,Maize (corn),Area harvested,2003,ha,3650904,A
South Africa,Maize (corn),Production,2003,t,9705000,A
South Africa,Maize (corn),Yield,2003,kg/ha,2658.2,A
South Africa,Maize (corn),Area harvested,2004,ha,3204110,A
South Africa,Maize (corn),Production,2004,t,9710070,A
South Africa,Maize (corn),Yield,2004,kg/ha,3030.5,A
South Africa,Maize (corn),Area harvested,2005,ha,3223000,A
South Africa,Maize (corn),Production,2005,t,11715948,A
South Africa,Maize (corn),Yield,2005,kg/ha,3635.1,A
South Africa,Maize (corn),Area harvested,2006,ha,2032446,A
South Africa,Maize (corn),Production,2006,t,6935056,A
South Africa,Maize (corn),Yield,2006,kg/ha,3412.2,A
South Africa,Maize (corn),Area harvested,2007,ha,2551800,A
South Africa,Maize (corn),Production,2007,t,7125000,A
South Africa,Maize (corn),Yield,2007,kg/ha,2792.1,A
South Africa,Maize (corn),Area harvested,2008,ha,2799000,A
South Africa,Maize (corn),Production,2008,t,12700000,A
South Africa,Maize (corn),Yield,2008,kg/ha,4537.3,A
South Africa,Maize (corn),Area harvested,2009,ha,2427500,A
South Africa,Maize (corn),Production,2009,t,12050000,A
South Africa,Maize (corn),Yield,2009,kg/ha,4964,A
South Africa,Maize (corn),Area harvested,2010,ha,2742000,A
South Africa,Maize (corn),Production,2010,t,12815000,A
South Africa,Maize (corn),Yield,2010,kg/ha,4673.6,A
South Africa,Maize (corn),Area harvested,2011,ha,2372300,A
South Africa,Maize (corn),Production,2011,t,10360000,A
South Africa,Maize (corn),Yield,2011,kg/ha,4367.1,A
South Africa,Maize (corn),Area harvested,2012,ha,2699200,A
South Africa,Maize (corn),Production,2012,t,12120656,A
South Africa,Maize (corn),Yield,2012,kg/ha,4490.5,A
South Africa,Maize (corn),Area harvested,2013,ha,2781200,A
South Africa,Maize (corn),Production,2013,t,11810600,A
South Africa,Maize (corn),Yield,2013,kg/ha,4246.6,A
South Africa,Maize (corn),Area harvested,2014,ha,2688200,A
South Africa,Maize (corn),Production,2014,t,14250000,A
South Africa,Maize (corn),Yield,2014,kg/ha,5300.9,A
South Africa,Maize (corn),Area harvested,2015,ha,3048050,A
South Africa,Maize (corn),Production,2015,t,10628800,A
South Africa,Maize (corn),Yield,2015,kg/ha,3487.1,A
South Africa,Maize (corn),Area harvested,2016,ha,2212880,A
South Africa,Maize (corn),Production,2016,t,8214240,A
South Africa,Maize (corn),Yield,2016,kg/ha,3712,A
South Africa,Maize (corn),Area harvested,2017,ha,2995250,A
South Africa,Maize (corn),Production,2017,t,17551000,A
South Africa,Maize (corn),Yield,2017,kg/ha,5859.6,A
South Africa,Maize (corn),Area harvested,2018,ha,2633685,A
South Africa,Maize (corn),Production,2018,t,13103975,A
South Africa,Maize (corn),Yield,2018,kg/ha,4975.5,A
South Africa,Maize (corn),Area harvested,2019,ha,2596500,A
South Africa,Maize (corn),Production,2019,t,11824180,A
South Africa,Maize (corn),Yield,2019,kg/ha,4553.9,A
South Africa,Maize (corn),Area harvested,2020,ha,2908260,A
South Africa,Maize (corn),Production,2020,t,15843545,A
South Africa,Maize (corn),Yield,2020,kg/ha,5447.8,A
South Africa,Maize (corn),Area harvested,2021,ha,2755400,A
South Africa,Maize (corn),Production,2021,t,16315000,A
South Africa,Maize (corn),Yield,2021,kg/ha,5921.1,A
South Africa,Maize (corn),Area harvested,2022,ha,2623000,A
South Africa,Maize (corn),Production,2022,t,15470000,A
South Africa,Maize (corn),Yield,2022,kg/ha,5897.8,A
Zambia,Maize (corn),Area harvested,1990,ha,763277,A
Zambia,Maize (corn),Production,1990,t,1092671,A
Zambia,Maize (corn),Yield,1990,kg/ha,1431.6,A
Zambia,Maize (corn),Area harvested,1991,ha,639390,A
Zambia,Maize (corn),Production,1991,t,1095908,A
Zambia,Maize (corn),Yield,1991,kg/ha,1714,A
Zambia,Maize (corn),Area harvested,1992,ha,661305,A
Zambia,Maize (corn),Production,1992,t,483492,A
Zambia,Maize (corn),Yield,1992,kg/ha,731.1,A
Zambia,Maize (corn),Area harvested,1993,ha,633326,A
Zambia,Maize (corn),Production,1993,t,1597767,A
Zambia,Maize (corn),Yield,1993,kg/ha,2522.8,A
Zambia,Maize (corn),Area harvested,1994,ha,679355,A
Zambia,Maize (corn),Production,1994,t,1020749,A
Zambia,Maize (corn),Yield,1994,kg/ha,1502.5,A
Zambia,Maize (corn),Area harvested,1995,ha,520165,A
Zambia,Maize (corn),Production,1995,t,737835,A
Zambia,Maize (corn),Yield,1995,kg/ha,1418.5,A
Zambia,Maize (corn),Area harvested,1996,ha,675565,A
Zambia,Maize (corn),Production,1996,t,1409485,A
Zambia,Maize (corn),Yield,1996,kg/ha,2086.4,A
Zambia,Maize (corn),Area harvested,1997,ha,649039,A
Zambia,Maize (corn),Production,1997,t,960188,A
Zambia,Maize (corn),Yield,1997,kg/ha,1479.4,A
Zambia,Maize (corn),Area harvested,1998,ha,510372,A
Zambia,Maize (corn),Production,1998,t,638134,A
Zambia,Maize (corn),Yield,1998,kg/ha,1250.3,A
Zambia,Maize (corn),Area harvested,1999,ha,597454,A
Zambia,Maize (corn),Production,1999,t,822056,A
Zambia,Maize (corn),Yield,1999,kg/ha,1375.9,A
Zambia,Maize (corn),Area harvested,2000,ha,586907,A
Zambia,Maize (corn),Production,2000,t,1040000,A
Zambia,Maize (corn),Yield,2000,kg/ha,1772,A
Zambia,Maize (corn),Area harvested,2001,ha,582000,A
Zambia,Maize (corn),Production,2001,t,802000,A
Zambia,Maize (corn),Yield,2001,kg/ha,1378,A
Zambia,Maize (corn),Area harvested,2002,ha,362787,A
Zambia,Maize (corn),Production,2002,t,606172,A
Zambia,Maize (corn),Yield,2002,kg/ha,1670.9,A
Zambia,Maize (corn),Area harvested,2003,ha,671000,A
Zambia,Maize (corn),Production,2003,t,1157860,A
Zambia,Maize (corn),Yield,2003,kg/ha,1725.6,A
Zambia,Maize (corn),Area harvested,2004,ha,631000,A
Zambia,Maize (corn),Production,2004,t,1214000,A
Zambia,Maize (corn),Yield,2004,kg/ha,1923.9,A
Zambia,Maize (corn),Area harvested,2005,ha,465832,A
Zambia,Maize (corn),Production,2005,t,866187,A
Zambia,Maize (corn),Yield,2005,kg/ha,1859.4,A
Zambia,Maize (corn),Area harvested,2006,ha,618959,A
Zambia,Maize (corn),Production,2006,t,1424400,A
Zambia,Maize (corn),Yield,2006,kg/ha,2301.3,A
Zambia,Maize (corn),Area harvested,2007,ha,585291,A
Zambia,Maize (corn),Production,2007,t,1366158,A
Zambia,Maize (corn),Yield,2007,kg/ha,2334.2,A
Zambia,Maize (corn),Area harvested,2008,ha,539877,A
Zambia,Maize (corn),Production,2008,t,1211566,A
Zambia,Maize (corn),Yield,2008,kg/ha,2244.2,A
Zambia,Maize (corn),Area harvested,2009,ha,911942,A
Zambia,Maize (corn),Production,2009,t,1887010,A
Zambia,Maize (corn),Yield,2009,kg/ha,2069.2,A
Zambia,Maize (corn),Area harvested,2010,ha,1080556,A
Zambia,Maize (corn),Production,2010,t,2795483,A
Zambia,Maize (corn),Yield,2010,kg/ha,2587.1,A
Zambia,Maize (corn),Area harvested,2011,ha,1101785,A
Zambia,Maize (corn),Production,2011,t,3020380,A
Zambia,Maize (corn),Yield,2011,kg/ha,2741.4,A
Zambia,Maize (corn),Area harvested,2012,ha,1074658,A
Zambia,Maize (corn),Production,2012,t,2852687,A
Zambia,Maize (corn),Yield,2012,kg/ha,2654.5,A
Zambia,Maize (corn),Area harvested,2013,ha,997880,A
Zambia,Maize (corn),Production,2013,t,2532800,A
Zambia,Maize (corn),Yield,2013,kg/ha,2538.2,A
Zambia,Maize (corn),Area harvested,2014,ha,1205202,A
Zambia,Maize (corn),Production,2014,t,3350671,A
Zambia,Maize (corn),Yield,2014,kg/ha,2780.2,A
Zambia,Maize (corn),Area harvested,2015,ha,863818,A
Zambia,Maize (corn),Production,2015,t,2618221,A
Zambia,Maize (corn),Yield,2015,kg/ha,3031,A
Zambia,Maize (corn),Area harvested,2016,ha,1157754,A
Zambia,Maize (corn),Production,2016,t,2873052,A
Zambia,Maize (corn),Yield,2016,kg/ha,2481.6,A
Zambia,Maize (corn),Area harvested,2017,ha,1433944,A
Zambia,Maize (corn),Production,2017,t,3606549,A
Zambia,Maize (corn),Yield,2017,kg/ha,2515.1,A
Zambia,Maize (corn),Area harvested,2018,ha,1086006,A
Zambia,Maize (corn),Production,2018,t,2394906.98,A
Zambia,Maize (corn),Yield,2018,kg/ha,2205.2,A
Zambia,Maize (corn),Area harvested,2019,ha,841693,A
Zambia,Maize (corn),Production,2019,t,2004389.36,A
Zambia,Maize (corn),Yield,2019,kg/ha,2381.4,A
Zambia,Maize (corn),Area harvested,2020,ha,1333519,A
Zambia,Maize (corn),Production,2020,t,3387469.57,A
Zambia,Maize (corn),Yield,2020,kg/ha,2540.2,A
Zambia,Maize (corn),Area harvested,2021,ha,1410102,A
Zambia,Maize (corn),Production,2021,t,3620243.9,A
Zambia,Maize (corn),Yield,2021,kg/ha,2567.4,A
Zambia,Maize (corn),Area harvested,2022,ha,1115489,A
Zambia,Maize (corn),Production,2022,t,2706243.46,A
Zambia,Maize (corn),Yield,2022,kg/ha,2426.1,A
Zimbabwe,Maize (corn),Area harvested,1990,ha,1145870,A
Zimbabwe,Maize (corn),Production,1990,t,1971542,A
Zimbabwe,Maize (corn),Yield,1990,kg/ha,1720.6,A
Zimbabwe,Maize (corn),Area harvested,1991,ha,1101200,A
Zimbabwe,Maize (corn),Production,1991,t,1585760,A
Zimbabwe,Maize (corn),Yield,1991,kg/ha,1440,A
Zimbabwe,Maize (corn),Area harvested,1992,ha,881000,A
Zimbabwe,Maize (corn),Production,1992,t,361900,A
Zimbabwe,Maize (corn),Yield,1992,kg/ha,410.8,A
Zimbabwe,Maize (corn),Area harvested,1993,ha,1248347,A
Zimbabwe,Maize (corn),Production,1993,t,2063003,A
Zimbabwe,Maize (corn),Yield,1993,kg/ha,1652.6,A
Zimbabwe,Maize (corn),Area harvested,1994,ha,1738450,A
Zimbabwe,Maize (corn),Production,1994,t,2109283,A
Zimbabwe,Maize (corn),Yield,1994,kg/ha,1213.3,A
Zimbabwe,Maize (corn),Area harvested,1995,ha,1487606,A
Zimbabwe,Maize (corn),Production,1995,t,884962,A
Zimbabwe,Maize (corn),Yield,1995,kg/ha,594.9,A
Zimbabwe,Maize (corn),Area harvested,1996,ha,1459611,A
Zimbabwe,Maize (corn),Production,1996,t,2065347,A
Zimbabwe,Maize (corn),Yield,1996,kg/ha,1415,A
Zimbabwe,Maize (corn),Area harvested,1997,ha,1406074,A
Zimbabwe,Maize (corn),Production,1997,t,1552703,A
Zimbabwe,Maize (corn),Yield,1997,kg/ha,1104.3,A
Zimbabwe,Maize (corn),Area harvested,1998,ha,1181207,A
Zimbabwe,Maize (corn),Production,1998,t,1195929,A
Zimbabwe,Maize (corn),Yield,1998,kg/ha,1012.5,A
Zimbabwe,Maize (corn),Area harvested,1999,ha,1477990,A
Zimbabwe,Maize (corn),Production,1999,t,1606588,A
Zimbabwe,Maize (corn),Yield,1999,kg/ha,1087,A
Zimbabwe,Maize (corn),Area harvested,2000,ha,1373117,A
Zimbabwe,Maize (corn),Production,2000,t,1619651,A
Zimbabwe,Maize (corn),Yield,2000,kg/ha,1179.5,A
Zimbabwe,Maize (corn),Area harvested,2001,ha,1239988,A
Zimbabwe,Maize (corn),Production,2001,t,1526328,A
Zimbabwe,Maize (corn),Yield,2001,kg/ha,1230.9,A
Zimbabwe,Maize (corn),Area harvested,2002,ha,1327854,A
Zimbabwe,Maize (corn),Production,2002,t,604758,A
Zimbabwe,Maize (corn),Yield,2002,kg/ha,455.4,A
Zimbabwe,Maize (corn),Area harvested,2003,ha,1352368,A
Zimbabwe,Maize (corn),Production,2003,t,1058786,A
Zimbabwe,Maize (corn),Yield,2003,kg/ha,782.9,A
Zimbabwe,Maize (corn),Area harvested,2004,ha,1818038,A
Zimbabwe,Maize (corn),Production,2004,t,2357152,A
Zimbabwe,Maize (corn),Yield,2004,kg/ha,1296.5,A
Zimbabwe,Maize (corn),Area harvested,2005,ha,2027268,A
Zimbabwe,Maize (corn),Production,2005,t,1255822.07,A
Zimbabwe,Maize (corn),Yield,2005,kg/ha,619.5,A
Zimbabwe,Maize (corn),Area harvested,2006,ha,2043941,A
Zimbabwe,Maize (corn),Production,2006,t,1997403,A
Zimbabwe,Maize (corn),Yield,2006,kg/ha,977.2,A
Zimbabwe,Maize (corn),Area harvested,2007,ha,1744615,A
Zimbabwe,Maize (corn),Production,2007,t,1509210,A
Zimbabwe,Maize (corn),Yield,2007,kg/ha,865.1,A
Zimbabwe,Maize (corn),Area harvested,2008,ha,1730000,A
Zimbabwe,Maize (corn),Production,2008,t,496000,A
Zimbabwe,Maize (corn),Yield,2008,kg/ha,286.7,A
Zimbabwe,Maize (corn),Area harvested,2009,ha,1508000,X
Zimbabwe,Maize (corn),Production,2009,t,700000,X
Zimbabwe,Maize (corn),Yield,2009,kg/ha,464.2,X
Zimbabwe,Maize (corn),Area harvested,2010,ha,1362563,A
Zimbabwe,Maize (corn),Production,2010,t,1192399,A
Zimbabwe,Maize (corn),Yield,2010,kg/ha,875.1,A
Zimbabwe,Maize (corn),Area harvested,2011,ha,1538577,A
Zimbabwe,Maize (corn),Production,2011,t,1010473,A
Zimbabwe,Maize (corn),Yield,2011,kg/ha,656.8,A
Zimbabwe,Maize (corn),Area harvested,2012,ha,1385161,A
Zimbabwe,Maize (corn),Production,2012,t,1095953.67,A
Zimbabwe,Maize (corn),Yield,2012,kg/ha,791.2,A
Zimbabwe,Maize (corn),Area harvested,2013,ha,1260893,A
Zimbabwe,Maize (corn),Production,2013,t,939282.26,A
Zimbabwe,Maize (corn),Yield,2013,kg/ha,744.9,A
Zimbabwe,Maize (corn),Area harvested,2014,ha,1048268,A
Zimbabwe,Maize (corn),Production,2014,t,974955.97,A
Zimbabwe,Maize (corn),Yield,2014,kg/ha,930.1,A
Zimbabwe,Maize (corn),Area harvested,2015,ha,1107688,A
Zimbabwe,Maize (corn),Production,2015,t,642792.81,A
Zimbabwe,Maize (corn),Yield,2015,kg/ha,580.3,A
Zimbabwe,Maize (corn),Area harvested,2016,ha,1161997,A
Zimbabwe,Maize (corn),Production,2016,t,511816,A
Zimbabwe,Maize (corn),Yield,2016,kg/ha,440.5,A
Zimbabwe,Maize (corn),Area harvested,2017,ha,1099945,A
Zimbabwe,Maize (corn),Production,2017,t,1532572,A
Zimbabwe,Maize (corn),Yield,2017,kg/ha,1393.3,A
Zimbabwe,Maize (corn),Area harvested,2018,ha,1155075,A
Zimbabwe,Maize (corn),Production,2018,t,1560100,A
Zimbabwe,Maize (corn),Yield,2018,kg/ha,1350.6,A
Zimbabwe,Maize (corn),Area harvested,2019,ha,991354,A
Zimbabwe,Maize (corn),Production,2019,t,773976,A
Zimbabwe,Maize (corn),Yield,2019,kg/ha,780.7,A
Zimbabwe,Maize (corn),Area harvested,2020,ha,1018884,A
Zimbabwe,Maize (corn),Production,2020,t,1202347,A
Zimbabwe,Maize (corn),Yield,2020,kg/ha,1180.1,A
Zimbabwe,Maize (corn),Area harvested,2021,ha,957793,A
Zimbabwe,Maize (corn),Production,2021,t,1469664,A
Zimbabwe,Maize (corn),Yield,2021,kg/ha,1534.4,A
Zimbabwe,Maize (corn),Area harvested,2022,ha,1139286,A
Zimbabwe,Maize (corn),Production,2022,t,869100.29,A
Zimbabwe,Maize (corn),Yield,2022,kg/ha,762.8,A
