"artifact","topic","producer_step","state","current_sha256","last_checked_at","last_checked_by","last_changed_at","last_change_detected_by"
"results/tables/model-performance.csv","predictive-analysis","scripts/predict-maize-yield.R","present","8a38e78f2f7f9970d869fe16990d405970433155c73c530801fb17db54e9c4f9","2026-09-02T22:13:54+02:00","scripts/predict-maize-yield.R","2026-09-02T22:13:53+02:00","scripts/predict-maize-yield.R"
"results/tables/predictive-performance-by-country.csv","predictive-analysis","scripts/predict-maize-yield.R","present","a1711c73349e62ce583c6165c601ca0926e72cadee31bd18b1742b124d0cc788","2026-09-02T22:13:54+02:00","scripts/predict-maize-yield.R","2026-09-02T22:13:53+02:00","scripts/predict-maize-yield.R"
"results/tables/predictive-split-audit.csv","predictive-analysis","scripts/predict-maize-yield.R","present","0732ae07c6f7e0d37a983d0e344c1edfb93306b160cb51c9cf2e18136b3b66be","2026-09-02T22:13:54+02:00","scripts/predict-maize-yield.R","2026-09-02T22:13:53+02:00","scripts/predict-maize-yield.R"
"reports/predictive-modeling.html","predictive-analysis","reports/predictive-modeling.qmd","present","69f9877ce826dc2fd6c998a501946ac687fc86e9a0c43ea01e6ba2f42d4d48d3","2026-09-02T22:14:33+02:00","reports/predictive-modeling.qmd","2026-09-02T22:14:33+02:00","reports/predictive-modeling.qmd"
"reports/maize-yield-report.html","course-project","reports/maize-yield-report.qmd","present","930bf71b19564674891bc97d8ec47ee46da25cbfe3a56b94c0bf47ef18619dc5","2026-09-02T22:14:38+02:00","reports/maize-yield-report.qmd","2026-09-02T22:14:33+02:00","reports/maize-yield-report.qmd"
"data/input/chirps-growing-season-precipitation.csv",,,"present","61450924baa695cf725cccc3225f733228cefce5633344f27a265492cf694621","2026-09-02T22:13:46+02:00","scripts/integrate-data.R","2026-09-02T22:13:46+02:00","scripts/integrate-data.R"
"data/input/faostat-maize-yield-sample.csv",,,"present","fd2c78cae5a5cf2f82d6b6bdc2b3637ce03b597f74e561099f9666af449605be","2026-09-02T22:13:45+02:00","scripts/prepare-maize-data.R","2026-09-02T22:13:45+02:00","scripts/validate-data.R"
"docs/causal-model.md",,,"present","b5b18d2466094768d85c545f95921fb34efd0cc9fb329cd23ad2fccff84cba97","2026-09-02T22:13:52+02:00","scripts/explain-maize-yield.R","2026-09-02T22:13:52+02:00","scripts/explain-maize-yield.R"
"metadata/faostat-flag-code-list.csv",,,"present","4560c5283f1a2b1eb20322452644b7968edb070053261a38c1b7c6280393cdc4","2026-09-02T22:13:45+02:00","scripts/validate-data.R","2026-09-02T22:13:45+02:00","scripts/validate-data.R"
"metadata/faostat-maize-yield-data-dictionary.csv",,,"present","690c4ce9635c1a3ee8a04995dc0d80c998eb1e0d3c80b286f86086cb884edfff","2026-09-02T22:13:45+02:00","scripts/validate-data.R","2026-09-02T22:13:45+02:00","scripts/validate-data.R"
